,tconst,titleFR,EncRunT,EncYear,EncNumR,averageRating,Crew1,Crew2
275,tt0013084,À la manière de Roméo,0,0,0,6.6,0.0,0.0
276,tt0013085,Le harpon,1,0,0,6.1,0.0,0.0
277,tt0013086,Mabuse le démon du crime,2,0,1,7.9,0.0,0.0
278,tt0013093,Roman chinois,1,0,0,6.5,0.0,0.0
279,tt0013109,Le visage dans le brouillard,0,0,0,6.8,0.0,0.0
280,tt0013110,Le sceau de Cardi,0,0,0,5.0,0.0,0.0
281,tt0013118,Os Faroleiros,0,0,0,6.3,0.0,0.0
282,tt0013122,La femme de nulle part,0,0,0,6.5,0.0,0.0
283,tt0013134,Coeur de Père,0,0,0,6.2,0.0,0.0
284,tt0013139,Envoûté (2ième partie de 'L'amour qui tue),0,0,0,5.4,0.0,0.0
285,tt0013140,Folies de femmes,1,0,1,7.0,0.0,0.0
286,tt0013145,L'enfant sacrifiée,0,0,0,7.0,0.0,0.0
287,tt0013169,Aimez-vous les uns les autres,1,0,0,6.5,0.0,0.0
288,tt0013170,La fin des fantômes,0,0,0,6.0,0.0,0.0
289,tt0013182,La glorieuse aventure,0,0,0,7.0,0.0,0.0
290,tt0013201,Le talisman de Grand-mère,0,0,0,7.0,0.0,0.0
291,tt0013229,La cage dorée,0,0,0,7.0,0.0,0.0
292,tt0013230,Inconscience,0,0,0,6.2,0.0,0.0
293,tt0013251,Olympic 13 gagnant,0,0,0,4.8,0.0,0.0
294,tt0013253,Le coeur humain,0,0,0,6.7,0.0,0.0
295,tt0013254,Le crime de Mme Lévy,1,0,0,6.4,0.0,0.0
296,tt0013255,Jalousie,1,0,0,5.0,0.0,0.0
297,tt0013257,La sorcellerie à travers les âges,1,0,1,7.7,0.0,0.0
298,tt0013263,A l'assaut de la montagne - Dans la tempête et la glace,0,0,0,7.1,0.0,0.0
299,tt0013264,Le calvaire de Mme Mallory,1,0,0,6.4,0.0,0.0
300,tt0013284,Centaure,0,0,0,7.0,0.0,0.0
301,tt0013288,Un derby sensationnel,0,0,0,5.3,0.0,0.0
302,tt0013292,Héros sans le savoir,0,0,0,7.2,0.0,0.0
303,tt0013301,Les yeux de l'amour,0,0,0,6.9,0.0,0.0
304,tt0013332,Lorna Doone,0,0,0,6.7,0.0,0.0
305,tt0013336,Perpétua,0,0,0,6.5,0.0,0.0
306,tt0013342,Lucrèce Borgia,0,0,0,6.8,6.955894457531052e-06,-9.717741034371646e-06
307,tt0013363,La raison de vivre,0,0,0,5.8,0.0,0.0
308,tt0013367,L'homme de l'au-delà,0,0,0,5.4,0.0,0.0
309,tt0013372,Le réquisitoire,1,0,0,6.2,0.0,0.0
310,tt0013386,Chevaux de bois,1,0,0,6.6,0.0,0.0
311,tt0013402,Le Comte de Monte Cristo,1,0,0,6.6,0.0,0.0
312,tt0013404,Morane le marin,0,0,0,6.4,0.0,0.0
313,tt0013417,La Dictatrice,0,0,0,6.6,0.0,0.0
314,tt0013427,Nanouk l'Esquimau,1,0,1,7.6,0.0,0.0
315,tt0013428,Nathan le sage,1,0,0,6.9,0.0,0.0
316,tt0013433,Des gens très bien,0,0,0,5.4,0.0,0.0
317,tt0013442,Nosferatu le vampire,1,0,2,7.9,0.0,0.0
318,tt0013450,Oliver Twist,1,0,0,6.7,0.0,0.0
319,tt0013452,La maison cernée,0,0,0,6.9,0.0,0.0
320,tt0013455,Perdus sur l'océan,0,0,0,6.9,0.0,0.0
321,tt0013458,La nuit mystérieuse,1,0,0,5.4,0.0,0.0
322,tt0013469,Othello,1,0,0,6.4,-0.00010872468766893049,-8.949731967575887e-05
323,tt0013488,Peg de mon coeur,1,0,0,6.9,0.0,0.0
324,tt0013496,Le fantôme,1,0,0,6.9,0.0,0.0
325,tt0013501,Polikouchka,0,0,0,6.9,0.0,0.0
326,tt0013511,Le dernier des Don Farel,1,0,0,6.3,0.0,0.0
327,tt0013515,Le roman d'un Roi,1,0,0,6.7,3.589404982119437e-06,-2.085772206659683e-06
328,tt0013535,Émancipée,0,0,0,6.5,0.0,0.0
329,tt0013556,Robin des Bois,2,0,0,7.2,0.00010421799083385132,3.1652670156744105e-05
330,tt0013571,Salomé,0,0,0,6.7,0.0,0.0
331,tt0013574,Le détour,1,0,0,6.9,0.0,0.0
332,tt0013579,Le montreur d'ombres,1,0,0,6.8,0.0,0.0
333,tt0013592,Le repentir,0,0,0,6.2,-0.006054752028721336,0.006696606873136701
334,tt0013597,Sherlock Holmes contre Moriarty,1,0,0,5.8,0.0,0.0
335,tt0013603,Le foyer qui s'éteint,1,0,0,4.1,0.0,0.0
336,tt0013607,L'aigle,0,0,0,5.8,0.0,0.0
337,tt0013611,La victoire du coeur,1,0,0,6.9,0.0,0.0
338,tt0013619,Le sixième commandement,2,0,0,6.0,0.0,0.0
339,tt0013624,Fleur des sables,1,0,0,6.5,0.0,0.0
340,tt0013629,Sous le soleil d'Espagne,0,0,0,6.7,0.0,0.0
341,tt0013662,Tess au pays des haines,2,0,0,6.8,0.0,0.0
342,tt0013672,Les trois revenants,0,0,0,6.8,0.0,0.0
343,tt0013674,L'étroit mousquetaire,0,0,0,6.9,0.0,0.0
344,tt0013679,Le roman de cousine Laure,0,0,0,6.8,0.0,0.0
345,tt0013688,Fleur de Lotus,0,0,0,6.6,0.0,0.0
346,tt0013704,Tu ne tueras point,0,0,0,5.9,-0.006054752028721336,0.006696606873136701
347,tt0013710,Le Suprême Rendez-vous,1,0,0,7.0,0.0,0.0
348,tt0013713,Chagrin de gosse,0,0,0,5.2,0.0,0.0
349,tt0013716,Les bons larrons,1,0,0,6.2,0.0,0.0
350,tt0013727,Le mystère de la vallée blanche,0,0,0,7.0,0.0,0.0
351,tt0013728,La noce au pied de la potence,0,0,0,5.8,0.0,0.0
352,tt0013730,L'épreuve du feu,1,0,0,6.8,0.0,0.0
353,tt0013735,Le forgeron du village,1,0,0,5.3,0.0,0.0
354,tt0013741,La femme du Pharaon,1,0,0,6.6,-0.00010872468766893049,-8.949731967575887e-05
355,tt0013750,Sur les marches d'un trône,1,0,0,6.3,-2.49465017405824e-18,2.3414972843678697e-18
356,tt0013766,Viviane,0,0,0,2.2,0.0,0.0
357,tt0013800,Jeunesse,1,0,0,8.0,0.0,0.0
358,tt0013802,Le jeune rajah,0,0,0,6.3,0.0,0.0
359,tt0013817,La rançon d'un trône,1,0,0,6.6,0.0,0.0
360,tt0013824,La force du sang,1,0,0,6.1,0.0,0.0
361,tt0013825,Tout pour l'or,1,0,0,5.7,-0.00010872468766893049,-8.949731967575887e-05
362,tt0013830,L'évasion de Baruch,1,0,0,6.9,0.0,0.0
363,tt0013841,Cendres de vengeance,1,0,0,6.7,0.0,0.0
364,tt0013846,L'auberge rouge,1,0,0,6.7,0.0,0.0
365,tt0013868,La belle Nivernaise,0,0,0,7.0,0.0,0.0
366,tt0013877,La huitième femme de Barbe-Bleue,0,0,0,7.5,0.0,0.0
367,tt0013886,La première femme,0,0,0,6.4,0.0,0.0
368,tt0013892,Le châle aux fleurs de sang,1,0,0,6.4,0.0,0.0
369,tt0013906,L'appel de la vallée,0,0,0,5.7,0.0,0.0
370,tt0013909,L'homme aux camées,0,0,0,5.2,0.0,0.0
371,tt0013920,La flétrissure,1,0,0,5.7,0.0,0.0
372,tt0013926,L'enfant du cirque,0,0,0,6.6,0.0,0.0
373,tt0013933,Coeur fidèle,1,0,0,7.5,0.0,0.0
374,tt0013951,La caravane vers l'Ouest,1,0,0,6.6,0.0,0.0
375,tt0013965,P'tit père,0,0,0,7.0,0.0,0.0
376,tt0014003,La marchande de rêves,0,0,0,6.8,0.0,0.0
377,tt0014014,Le vaisseau tragique,1,0,0,7.0,0.0,0.0
